time_epoch_s,time_local,t_elapsed_s,meas1_raw_dBm,meas2_raw_dBm,meas3_raw_dBm,meas1_corr_dBm,meas2_corr_dBm,meas3_corr_dBm,sim_ref_W,sim_ref_dBm,sim_fwd_W,sim_fwd_dBm,sim_tx_W,sim_tx_dBm
1760693357.866561,2025-10-17 11:29:17,165.862412,,-79.1872595,,,-79.1872595,,,,,,,
1760693357.910072,2025-10-17 11:29:17,165.905923,,-74.2811937,,,-74.2811937,,0.0024170050927152104,3.8327756548244736,0.0,,0.00010742244856512046,-9.689049526289153
1760693357.911071,2025-10-17 11:29:17,165.906922,-62.0362049,-74.2811937,,-62.0362049,-74.2811937,,0.0024145404489188185,3.8283448519509378,0.0,,0.00010731290884083642,-9.693480329162682
1760693357.918070,2025-10-17 11:29:17,165.913921,-62.0362049,-74.2811937,-62.0074229,-62.0362049,-74.2811937,-62.0074229,0.002397316682805237,3.7972540762998754,0.0,,0.00010654740812467722,-9.724571104813748
1760693357.958580,2025-10-17 11:29:17,165.954431,-62.0362049,-74.0078903,-62.0074229,-62.0362049,-74.0078903,-62.0074229,0.002299185710810569,3.6157405170551016,0.0,,0.00010218603159158085,-9.906084664058518
1760693357.960585,2025-10-17 11:29:17,165.956435,-61.968835,-74.0078903,-62.0074229,-61.968835,-74.0078903,-62.0074229,0.002294482806155959,3.606848076312154,0.0,,0.00010197701360693152,-9.914977104801473
1760693357.967587,2025-10-17 11:29:17,165.963437,-61.968835,-74.0078903,-62.0009054,-61.968835,-74.0078903,-62.0009054,0.0022781082182929437,3.5757435077519197,0.0,,0.00010124925414635307,-9.946081673361704
1760693358.009092,2025-10-17 11:29:18,166.004942,-61.968835,-68.3665689,-62.0009054,-61.968835,-68.3665689,-62.0009054,0.0021825906156488677,3.389722835617217,0.0,,9.700402736217192e-05,-10.132102345496406
1760693358.010093,2025-10-17 11:29:18,166.005944,-62.1394682,-68.3665689,-62.0009054,-62.1394682,-68.3665689,-62.0009054,0.0021803591652000717,3.3852803975891277,0.0,,9.690485178666989e-05,-10.1365447835245
1760693358.018095,2025-10-17 11:29:18,166.013946,-62.1394682,-68.3665689,-62.0223528,-62.1394682,-68.3665689,-62.0223528,0.0021625820515005496,3.3497259421218075,0.0,,9.61147578444689e-05,-10.172099238991812
1760693358.059094,2025-10-17 11:29:18,166.054945,-62.1394682,-68.3875057,-62.0223528,-62.1394682,-68.3875057,-62.0223528,0.0020730023726868475,3.1659979917259484,0.0,,9.213343878608213e-05,-10.355827189387682
1760693358.068601,2025-10-17 11:29:18,166.064452,-62.0821407,-68.3875057,-62.0223528,-62.0821407,-68.3875057,-62.0223528,0.0020529285764783653,3.1237384007643385,0.0,,9.124127006570514e-05,-10.398086780349288
1760693358.078112,2025-10-17 11:29:18,166.073963,-62.0821407,-68.3875057,-62.0775101,-62.0821407,-68.3875057,-62.0775101,0.0020330412066110796,3.081461812068767,0.0,,9.035738696049243e-05,-10.44036336904486
1760693358.099113,2025-10-17 11:29:18,166.094964,-62.0821407,-66.7689781,-62.0775101,-62.0821407,-66.7689781,-62.0775101,0.0019896824010719244,2.9878375858566244,0.0,,8.843032893652998e-05,-10.533987595256995
1760693358.110111,2025-10-17 11:29:18,166.105962,-62.0839015,-66.7689781,-62.0775101,-62.0839015,-66.7689781,-62.0775101,0.0019674026557458257,2.9389325329626317,0.0,,8.744011803314781e-05,-10.582892648150988
1760693358.141113,2025-10-17 11:29:18,166.136964,-62.0839015,-66.7689781,-62.1109302,-62.0839015,-66.7689781,-62.1109302,0.0019056195525338682,2.8003620022287663,0.0,,8.46942023348386e-05,-10.72146317888486
1760693358.151113,2025-10-17 11:29:18,166.146964,-62.0839015,-67.9238128,-62.1109302,-62.0839015,-67.9238128,-62.1109302,0.0018862125238496635,2.755906241040016,0.0,,8.383166772665171e-05,-10.765918940073611
1760693358.177144,2025-10-17 11:29:18,166.172995,-62.0499568,-67.9238128,-62.1109302,-62.0499568,-67.9238128,-62.1109302,0.0018364136312279146,2.6397050776262496,0.0,,8.161838361012955e-05,-10.882120103487374
1760693358.180144,2025-10-17 11:29:18,166.175995,-62.0499568,-67.9238128,-62.1190266,-62.0499568,-67.9238128,-62.1190266,0.0018307933137606714,2.6263931767150197,0.0,,8.136859172269653e-05,-10.8954320043986
1760693358.199143,2025-10-17 11:29:18,166.194993,-62.0499568,-66.7349317,-62.1190266,-62.0499568,-66.7349317,-62.1190266,0.001795451497015869,2.541736774304102,0.0,,7.97978443118164e-05,-10.980088406809529
1760693358.230143,2025-10-17 11:29:18,166.225994,-62.2345812,-66.7349317,-62.1190266,-62.2345812,-66.7349317,-62.1190266,0.001739071683447233,2.4031748371861426,0.0,,7.729207481987704e-05,-11.118650343927484
1760693358.237143,2025-10-17 11:29:18,166.232994,-62.2345812,-66.7349317,-62.1615257,-62.2345812,-66.7349317,-62.1615257,0.0017266645862565005,2.372079817565364,0.0,,7.67406482780667e-05,-11.149745363548263
1760693358.259144,2025-10-17 11:29:18,166.254994,-62.2345812,-66.7017372,-62.1615257,-62.2345812,-66.7017372,-62.1615257,0.0016880968329909152,2.2739735510210153,0.0,,7.502652591070737e-05,-11.247851630092612
1760693358.276664,2025-10-17 11:29:18,166.272515,-62.2555067,-66.7017372,-62.1615257,-62.2555067,-66.7017372,-62.1615257,0.0016580336761376421,2.195933472107697,0.0,,7.369038560611744e-05,-11.32589170900593
1760693358.280664,2025-10-17 11:29:18,166.276515,-62.2555067,-66.7017372,-62.1591533,-62.2555067,-66.7017372,-62.1591533,0.001651269553436986,2.1781797333235318,0.0,,7.338975793053273e-05,-11.343645447790095
1760693358.316665,2025-10-17 11:29:18,166.312516,-62.2555067,-67.4720045,-62.1591533,-62.2555067,-67.4720045,-62.1591533,0.0015911297901636987,2.0170560695825515,0.0,,7.071687956283106e-05,-11.504769111531068
1760693358.328664,2025-10-17 11:29:18,166.324514,-62.2792487,-67.4720045,-62.1591533,-62.2792487,-67.4720045,-62.1591533,0.0015716975896114239,1.9636898712494109,0.0,,6.985322620495217e-05,-11.558135309864213
1760693358.336665,2025-10-17 11:29:18,166.332515,-62.2792487,-67.4720045,-62.1372713,-62.2792487,-67.4720045,-62.1372713,0.0015588838359820905,1.9281375388569444,0.0,,6.928372604364847e-05,-11.593687642256683
1760693358.369669,2025-10-17 11:29:18,166.365520,-62.2792487,-67.5349286,-62.1372713,-62.2792487,-67.5349286,-62.1372713,0.0015067951868747624,1.7805422427540982,0.0,,6.696867497221167e-05,-11.741282938359525
1760693358.376179,2025-10-17 11:29:18,166.372030,-62.4294377,-67.5349286,-62.1372713,-62.4294377,-67.5349286,-62.1372713,0.0014967963965341002,1.7516272894997087,0.0,,6.652428429040445e-05,-11.770197891613918
1760693358.380687,2025-10-17 11:29:18,166.376537,-62.4294377,-67.5349286,-62.174926,-62.4294377,-67.5349286,-62.174926,0.001489915647184513,1.7316168116441446,0.0,,6.621847320820058e-05,-11.790208369469475
1760693358.420693,2025-10-17 11:29:18,166.416544,-62.4294377,-67.136903,-62.174926,-62.4294377,-67.136903,-62.174926,0.0014296778325403304,1.5523818339983606,0.0,,6.354123700179248e-05,-11.96944334711526
1760693358.427694,2025-10-17 11:29:18,166.423544,-62.4912211,-67.136903,-62.146166,-62.4912211,-67.136903,-62.146166,0.0014194777038926034,1.5212857533848236,0.0,,6.308789795078238e-05,-12.000539427728796
1760693358.466700,2025-10-17 11:29:18,166.462551,-62.4912211,-67.3707485,-62.146166,-62.4912211,-67.3707485,-62.146166,0.0013635076984760573,1.3465759434675917,0.0,,6.060034215449145e-05,-12.175249237646035
1760693358.479215,2025-10-17 11:29:18,166.475065,-62.4981817,-67.3707485,-62.146166,-62.4981817,-67.3707485,-62.146166,0.0013461413018324394,1.2909064932720895,0.0,,5.982850230366399e-05,-12.23091868784153
1760693358.486720,2025-10-17 11:29:18,166.482571,-62.4981817,-67.3707485,-62.1748854,-62.4981817,-67.3707485,-62.1748854,0.0013358450381543905,1.2575608165917842,0.0,,5.937089058463957e-05,-12.264264364521836
1760693358.519723,2025-10-17 11:29:18,166.515574,-62.4981817,-67.4926558,-62.1748854,-62.4981817,-67.4926558,-62.1748854,0.001291211260342204,1.109973047720164,0.0,,5.738716712632018e-05,-12.41185213339346
1760693358.529722,2025-10-17 11:29:18,166.525573,-62.4260027,-67.4926558,-62.1710804,-62.4260027,-67.4926558,-62.1710804,0.0012780620553478968,1.0655194117831073,0.0,,5.680275801546208e-05,-12.45630576933052
1760693358.568728,2025-10-17 11:29:18,166.564579,-62.4260027,-67.6021033,-62.1710804,-62.4260027,-67.6021033,-62.1710804,0.00122766928860001,0.8908139165898135,0.0,,5.456307949333378e-05,-12.631011264523806
1760693358.572731,2025-10-17 11:29:18,166.568581,-62.4728892,-67.6021033,-62.2360244,-62.4728892,-67.6021033,-62.2360244,0.0012226576020186242,0.8730485247906898,0.0,,5.434033786749442e-05,-12.648776656322923
1760693358.616748,2025-10-17 11:29:18,166.612598,-62.4728892,-67.3939396,-62.2360244,-62.4728892,-67.3939396,-62.2360244,0.0011683260485381144,0.6756405966042287,0.0,,5.192560215724954e-05,-12.846184584509395
1760693358.621747,2025-10-17 11:29:18,166.617597,-62.4323276,-67.3939396,-62.2270138,-62.4323276,-67.3939396,-62.2270138,0.0011623702519321277,0.6534448671060922,0.0,,5.1660900085872355e-05,-12.868380314007538
1760693358.663753,2025-10-17 11:29:18,166.659604,-62.3201522,-67.6638073,-62.2270138,-62.3201522,-67.6638073,-62.2270138,0.0011130517468330454,0.4651535556708488,0.0,,4.9468966525913145e-05,-13.056671625442775
1760693358.667753,2025-10-17 11:29:18,166.663604,-62.3201522,-67.6638073,-62.2366982,-62.3201522,-67.6638073,-62.2366982,0.0011085101240209255,0.4473966387932471,0.0,,4.926711662315226e-05,-13.074428542320376
1760693358.710775,2025-10-17 11:29:18,166.706625,-62.2969797,-73.4944516,-62.2366982,-62.2969797,-73.4944516,-62.2366982,0.0010603528051944654,0.25450389657297734,0.0,,4.712679134197625e-05,-13.26732128454065
1760693358.726776,2025-10-17 11:29:18,166.722627,-62.2969797,-73.4944516,-62.2026878,-62.2969797,-73.4944516,-62.2026878,0.001043099757244453,0.18325844331684493,0.0,,4.6359989210864576e-05,-13.338566737796782
1760693358.749780,2025-10-17 11:29:18,166.745631,-62.2969797,-66.379778,-62.2026878,-62.2969797,-66.379778,-62.2026878,0.0010187437647575961,0.08064963647756684,0.0,,4.527750065589317e-05,-13.441175544636053
1760693358.760779,2025-10-17 11:29:18,166.756629,-62.2519396,-66.379778,-62.2026878,-62.2519396,-66.379778,-62.2026878,0.0010073357466084234,0.03174245724243718,0.0,,4.477047762704105e-05,-13.490082723871183
1760693358.789289,2025-10-17 11:29:18,166.785140,-62.2519396,-66.379778,-62.1909502,-62.2519396,-66.379778,-62.1909502,0.0009782258089614546,-0.09560883181389457,0.0,,4.34767026205091e-05,-13.617434012927518
1760693358.802794,2025-10-17 11:29:18,166.798644,-62.2519396,-69.1042696,-62.1909502,-62.2519396,-69.1042696,-62.1909502,0.0009647844323791222,-0.15569712859800688,0.0,,4.287930810573877e-05,-13.677522309711634
1760693358.823801,2025-10-17 11:29:18,166.819651,-62.237082,-69.1042696,-62.1909502,-62.237082,-69.1042696,-62.1909502,0.0009442023695724384,-0.2493491399696559,0.0,,4.196454975877504e-05,-13.77117432108328
1760693358.832801,2025-10-17 11:29:18,166.828652,-62.237082,-69.1042696,-62.2145946,-62.237082,-69.1042696,-62.2145946,0.0009355451298202002,-0.2893525769989793,0.0,,4.1579783547564454e-05,-13.811177758112606
1760693358.848799,2025-10-17 11:29:18,166.844650,-62.237082,-66.5779096,-62.2145946,-62.237082,-66.5779096,-62.2145946,0.0009203264472091089,-0.3605809757363403,0.0,,4.0903397653738176e-05,-13.882406156849967
1760693358.860802,2025-10-17 11:29:18,166.856652,-62.3047117,-66.5779096,-62.2145946,-62.3047117,-66.5779096,-62.2145946,0.0009090822018346629,-0.4139684484282,0.0,,4.040365341487391e-05,-13.93579362954182
1760693358.890311,2025-10-17 11:29:18,166.886162,-62.3047117,-66.5779096,-62.2423786,-62.3047117,-66.5779096,-62.2423786,0.0008818980859688682,-0.5458159996872602,0.0,,3.919547048750525e-05,-14.06764118080089
1760693358.901312,2025-10-17 11:29:18,166.897162,-62.3047117,-67.1371369,-62.2423786,-62.3047117,-67.1371369,-62.2423786,0.0008720209882629636,-0.5947306211204797,0.0,,3.875648836724284e-05,-14.116555802234103
