time_epoch_s,time_local,t_elapsed_s,meas1_raw_dBm,meas2_raw_dBm,meas3_raw_dBm,meas1_corr_dBm,meas2_corr_dBm,meas3_corr_dBm,sim_ref_W,sim_ref_dBm,sim_fwd_W,sim_fwd_dBm,sim_tx_W,sim_tx_dBm
1760697366.891447,2025-10-17 12:36:06,40.303195,-62.0455042,-67.8506691,-62.2840455,-62.0455042,-67.8506691,-62.2840455,0.00465641982060755,6.680521291920467,10.000000000000002,40.0,0.6382054424931088,28.049605034529893
1760697366.942960,2025-10-17 12:36:06,40.354708,-62.0487594,-67.5010164,-62.2840455,-62.0487594,-67.5010164,-62.2840455,0.004462557563683168,6.49583831233128,10.000000000000002,40.0,0.6387978152754091,28.053634221573397
1760697366.948956,2025-10-17 12:36:06,40.360704,-62.0487594,-67.5010164,-62.3007709,-62.0487594,-67.5010164,-62.3007709,0.004440728465647392,6.474542184616112,10.000000000000002,40.0,0.6388653338879837,28.05409323083438
1760697366.985521,2025-10-17 12:36:06,40.397269,-62.0487594,-66.3649972,-62.3007709,-62.0487594,-66.3649972,-62.3007709,0.004309085606957827,6.343851221366592,10.000000000000002,40.0,0.6392761561910526,28.056885063613375
1760697366.997526,2025-10-17 12:36:06,40.409274,-62.0222698,-66.3649972,-62.3007709,-62.0222698,-66.3649972,-62.3007709,0.004266936283440206,6.301161577510559,10.000000000000002,40.0,0.6394090440085508,28.057787747808835
1760697367.012036,2025-10-17 12:36:07,40.423784,-62.0222698,-66.3649972,-62.3157603,-62.0222698,-66.3649972,-62.3157603,0.004216514805491556,6.24953629608455,10.000000000000002,40.0,0.6395688956519646,28.058873344125494
1760697367.051040,2025-10-17 12:36:07,40.462788,-62.0222698,-67.5941377,-62.3157603,-62.0222698,-67.5941377,-62.3157603,0.004083251238710665,6.110061024870053,10.000000000000002,40.0,0.6399961416971074,28.06177355789033
1760697367.056038,2025-10-17 12:36:07,40.467786,-62.0209885,-67.5941377,-62.3157603,-62.0209885,-67.5941377,-62.3157603,0.004066598740933068,6.092313218523845,10.000000000000002,40.0,0.640050027206319,28.062139203753542
1760697367.059036,2025-10-17 12:36:07,40.470785,-62.0209885,-67.5941377,-62.3147481,-62.0209885,-67.5941377,-62.3147481,0.004056643765392288,6.081668717622108,10.000000000000002,40.0,0.6400822941158535,28.06235813957023
1760697367.095640,2025-10-17 12:36:07,40.507388,-62.0209885,-66.4432445,-62.3147481,-62.0209885,-66.4432445,-62.3147481,0.003936263144156323,5.950841238637249,10.000000000000002,40.0,0.6404757268703865,28.065026752422902
1760697367.129153,2025-10-17 12:36:07,40.540901,-62.0367852,-66.4432445,-62.3093421,-62.0367852,-66.4432445,-62.3093421,0.003829251746309706,5.831139190870871,10.000000000000002,40.0,0.64083065145172,28.067432762315857
