time_epoch_s,time_local,t_elapsed_s,meas1_raw_dBm,meas2_raw_dBm,meas3_raw_dBm,meas1_corr_dBm,meas2_corr_dBm,meas3_corr_dBm,sim_ref_W,sim_ref_dBm,sim_fwd_W,sim_fwd_dBm,sim_tx_W,sim_tx_dBm
1760693363.870128,2025-10-17 11:29:23,171.865978,,-66.9860312,,,-66.9860312,,,,,,,
1760693363.874128,2025-10-17 11:29:23,171.869978,-62.1777612,-66.9860312,-62.2886701,-62.1777612,-66.9860312,-62.2886701,,,,,,
1760693363.916150,2025-10-17 11:29:23,171.912000,-62.1896477,-66.9392916,-62.2886701,-62.1896477,-66.9392916,-62.2886701,,,,,,
1760693363.917146,2025-10-17 11:29:23,171.912997,-62.1896477,-66.9392916,-62.3121166,-62.1896477,-66.9392916,-62.3121166,,,,,,
1760693363.959146,2025-10-17 11:29:23,171.954997,-62.1896477,-66.9582248,-62.3121166,-62.1896477,-66.9582248,-62.3121166,,,,,,
1760693363.960147,2025-10-17 11:29:23,171.955997,-62.2071963,-66.9582248,-62.3121166,-62.2071963,-66.9582248,-62.3121166,,,,,,
1760693363.976658,2025-10-17 11:29:23,171.972508,-62.2071963,-66.9582248,-63.5847308,-62.2071963,-66.9582248,-63.5847308,,,,,,
1760693363.999174,2025-10-17 11:29:23,171.995025,-62.2071963,-67.3186853,-63.5847308,-62.2071963,-67.3186853,-63.5847308,,,,,,
1760693364.010173,2025-10-17 11:29:24,172.006023,-62.2013214,-67.3186853,-63.5847308,-62.2013214,-67.3186853,-63.5847308,,,,,,
1760693364.039175,2025-10-17 11:29:24,172.035025,-62.2013214,-67.3186853,-62.3456429,-62.2013214,-67.3186853,-62.3456429,,,,,,
1760693364.052173,2025-10-17 11:29:24,172.048023,-62.2013214,-67.1297329,-62.3456429,-62.2013214,-67.1297329,-62.3456429,,,,,,
1760693364.060173,2025-10-17 11:29:24,172.056024,-62.1803424,-67.1297329,-62.3456429,-62.1803424,-67.1297329,-62.3456429,,,,,,
1760693364.090691,2025-10-17 11:29:24,172.086542,-62.1803424,-67.1297329,-62.4585484,-62.1803424,-67.1297329,-62.4585484,,,,,,
1760693364.101202,2025-10-17 11:29:24,172.097052,-62.1803424,-67.0748034,-62.4585484,-62.1803424,-67.0748034,-62.4585484,,,,,,
1760693364.110201,2025-10-17 11:29:24,172.106051,-62.1947695,-67.0748034,-62.4585484,-62.1947695,-67.0748034,-62.4585484,,,,,,
1760693364.138203,2025-10-17 11:29:24,172.134053,-62.1947695,-67.0748034,-62.5069627,-62.1947695,-67.0748034,-62.5069627,,,,,,
1760693364.151201,2025-10-17 11:29:24,172.147052,-62.1947695,-67.1966501,-62.5069627,-62.1947695,-67.1966501,-62.5069627,,,,,,
1760693364.176714,2025-10-17 11:29:24,172.172564,-62.2055562,-67.1966501,-62.5069627,-62.2055562,-67.1966501,-62.5069627,,,,,,
1760693364.179721,2025-10-17 11:29:24,172.175571,-62.2055562,-67.1966501,-62.5166231,-62.2055562,-67.1966501,-62.5166231,,,,,,
1760693364.199719,2025-10-17 11:29:24,172.195569,-62.2055562,-63.9837272,-62.5166231,-62.2055562,-63.9837272,-62.5166231,,,,,,
1760693364.230228,2025-10-17 11:29:24,172.226079,-62.2183988,-63.9837272,-62.5166231,-62.2183988,-63.9837272,-62.5166231,,,,,,
1760693364.236228,2025-10-17 11:29:24,172.232079,-62.2183988,-63.9837272,-62.5985972,-62.2183988,-63.9837272,-62.5985972,,,,,,
1760693364.249227,2025-10-17 11:29:24,172.245077,-62.2183988,-65.6361724,-62.5985972,-62.2183988,-65.6361724,-62.5985972,,,,,,
1760693364.280745,2025-10-17 11:29:24,172.276596,-63.9213961,-65.6361724,-62.5985972,-63.9213961,-65.6361724,-62.5985972,,,,,,
1760693364.286745,2025-10-17 11:29:24,172.282595,-63.9213961,-65.6361724,-62.54661,-63.9213961,-65.6361724,-62.54661,,,,,,
1760693364.299745,2025-10-17 11:29:24,172.295596,-63.9213961,-65.8791734,-62.54661,-63.9213961,-65.8791734,-62.54661,,,,,,
1760693364.332264,2025-10-17 11:29:24,172.328115,-64.4448296,-65.8791734,-62.54661,-64.4448296,-65.8791734,-62.54661,,,,,,
1760693364.336263,2025-10-17 11:29:24,172.332114,-64.4448296,-65.8791734,-62.688054,-64.4448296,-65.8791734,-62.688054,,,,,,
1760693364.369267,2025-10-17 11:29:24,172.365118,-64.4448296,-66.0965662,-62.688054,-64.4448296,-66.0965662,-62.688054,,,,,,
1760693364.373267,2025-10-17 11:29:24,172.369118,-63.2923794,-66.0965662,-62.688054,-63.2923794,-66.0965662,-62.688054,,,,,,
1760693364.376775,2025-10-17 11:29:24,172.372625,-63.2923794,-66.0965662,-62.7073543,-63.2923794,-66.0965662,-62.7073543,,,,,,
1760693364.424292,2025-10-17 11:29:24,172.420143,-63.2923794,-66.8893683,-62.7073543,-63.2923794,-66.8893683,-62.7073543,,,,,,
1760693364.427292,2025-10-17 11:29:24,172.423142,-63.3921826,-66.8893683,-62.7073543,-63.3921826,-66.8893683,-62.7073543,,,,,,
1760693364.431292,2025-10-17 11:29:24,172.427142,-63.3921826,-66.8893683,-62.6183972,-63.3921826,-66.8893683,-62.6183972,,,,,,
1760693364.470299,2025-10-17 11:29:24,172.466149,-63.3921826,-67.3522848,-62.6183972,-63.3921826,-67.3522848,-62.6183972,,,,,,
1760693364.477810,2025-10-17 11:29:24,172.473661,-62.9516165,-67.3522848,-62.6791905,-62.9516165,-67.3522848,-62.6791905,,,,,,
1760693364.518811,2025-10-17 11:29:24,172.514662,-62.9516165,-67.0466512,-62.6791905,-62.9516165,-67.0466512,-62.6791905,,,,,,
1760693364.523321,2025-10-17 11:29:24,172.519171,-62.5651739,-67.0466512,-62.6475477,-62.5651739,-67.0466512,-62.6475477,,,,,,
1760693364.568330,2025-10-17 11:29:24,172.564181,-62.4793362,-71.2737248,-62.5952756,-62.4793362,-71.2737248,-62.5952756,,,,,,
1760693364.617838,2025-10-17 11:29:24,172.613688,-62.4793362,-68.3465356,-62.5952756,-62.4793362,-68.3465356,-62.5952756,,,,,,
1760693364.629345,2025-10-17 11:29:24,172.625196,-62.3360985,-68.3465356,-62.5614665,-62.3360985,-68.3465356,-62.5614665,,,,,,
1760693364.668355,2025-10-17 11:29:24,172.664206,-62.3360985,-68.7982092,-62.5614665,-62.3360985,-68.7982092,-62.5614665,,,,,,
1760693364.672357,2025-10-17 11:29:24,172.668207,-62.1820621,-68.7982092,-62.6859436,-62.1820621,-68.7982092,-62.6859436,,,,,,
1760693364.715863,2025-10-17 11:29:24,172.711714,-62.3361293,-67.6880559,-62.6859436,-62.3361293,-67.6880559,-62.6859436,,,,,,
1760693364.731862,2025-10-17 11:29:24,172.727713,-62.3361293,-67.6880559,-62.6728453,-62.3361293,-67.6880559,-62.6728453,,,,,,
1760693364.749389,2025-10-17 11:29:24,172.745240,-62.3361293,-67.8038526,-62.6728453,-62.3361293,-67.8038526,-62.6728453,,,,,,
1760693364.760388,2025-10-17 11:29:24,172.756238,-62.3108859,-67.8038526,-62.6728453,-62.3108859,-67.8038526,-62.6728453,,,,,,
1760693364.767392,2025-10-17 11:29:24,172.763243,-62.3108859,-67.8038526,-62.6963585,-62.3108859,-67.8038526,-62.6963585,,,,,,
1760693364.808901,2025-10-17 11:29:24,172.804751,-62.3108859,-67.1315337,-62.6963585,-62.3108859,-67.1315337,-62.6963585,,,,,,
1760693364.817901,2025-10-17 11:29:24,172.813751,-62.3802106,-67.1315337,-62.6963585,-62.3802106,-67.1315337,-62.6963585,,,,,,
1760693364.826903,2025-10-17 11:29:24,172.822753,-62.3802106,-67.1315337,-62.7327579,-62.3802106,-67.1315337,-62.7327579,,,,,,
1760693364.849407,2025-10-17 11:29:24,172.845258,-62.3802106,-67.2453752,-62.7327579,-62.3802106,-67.2453752,-62.7327579,,,,,,
1760693364.871416,2025-10-17 11:29:24,172.867266,-62.3449767,-67.2453752,-62.7327579,-62.3449767,-67.2453752,-62.7327579,,,,,,
1760693364.891925,2025-10-17 11:29:24,172.887775,-62.3449767,-67.2453752,-62.8059854,-62.3449767,-67.2453752,-62.8059854,,,,,,
1760693364.902928,2025-10-17 11:29:24,172.898778,-62.3449767,-66.5560715,-62.8059854,-62.3449767,-66.5560715,-62.8059854,,,,,,
1760693364.933928,2025-10-17 11:29:24,172.929778,-62.2564808,-66.5560715,-62.8059854,-62.2564808,-66.5560715,-62.8059854,,,,,,
1760693364.936928,2025-10-17 11:29:24,172.932778,-62.2564808,-66.5560715,-62.7440463,-62.2564808,-66.5560715,-62.7440463,,,,,,
1760693364.949435,2025-10-17 11:29:24,172.945286,-62.2564808,-66.5123909,-62.7440463,-62.2564808,-66.5123909,-62.7440463,,,,,,
1760693364.979953,2025-10-17 11:29:24,172.975803,-62.2793802,-66.5123909,-62.7440463,-62.2793802,-66.5123909,-62.7440463,,,,,,
