time_epoch_s,time_local,t_elapsed_s,meas1_raw_dBm,meas2_raw_dBm,meas3_raw_dBm,meas1_corr_dBm,meas2_corr_dBm,meas3_corr_dBm,sim_W,sim_dBm
1760684142.478242,2025-10-17 08:55:42,17.012933,,,-62.3421288,,,-62.3421288,,
1760684142.494242,2025-10-17 08:55:42,17.028933,,-65.6582443,-62.3421288,,-65.6582443,-62.3421288,,
1760684142.535760,2025-10-17 08:55:42,17.070450,,-65.6582443,-62.366525,,-65.6582443,-62.366525,0.004533389353079331,6.564230203232562
1760684142.543756,2025-10-17 08:55:42,17.078447,,-67.1936576,-62.366525,,-67.1936576,-62.366525,0.004503826076146532,6.535816110554876
1760684142.550754,2025-10-17 08:55:42,17.085445,-62.2781727,-67.1936576,-62.366525,-62.2781727,-67.1936576,-62.366525,0.004478119349028187,6.510956640383764
1760684142.582268,2025-10-17 08:55:42,17.116958,-62.2781727,-67.1936576,-62.416182,-62.2781727,-67.1936576,-62.416182,0.004363590643967057,6.398440019060029
1760684142.584269,2025-10-17 08:55:42,17.118959,-62.2781727,-66.974288,-62.416182,-62.2781727,-66.974288,-62.416182,0.00435646303963198,6.391340338178221
1760684142.605279,2025-10-17 08:55:42,17.139970,-62.2740099,-66.974288,-62.416182,-62.2740099,-66.974288,-62.416182,0.0042820182921723205,6.316485182065588
1760684142.630788,2025-10-17 08:55:42,17.165478,-62.2740099,-68.2682757,-62.4228931,-62.2740099,-68.2682757,-62.4228931,0.004193264501595949,6.225522575766135
1760684142.669789,2025-10-17 08:55:42,17.204479,-62.2737696,-68.2682757,-62.4228931,-62.2737696,-68.2682757,-62.4228931,0.004060746210920366,6.086058477414458
1760684142.680309,2025-10-17 08:55:42,17.214999,-62.2737696,-76.2208273,-62.3955808,-62.2737696,-76.2208273,-62.3955808,0.004025926134524213,6.048658024297286
1760684142.717314,2025-10-17 08:55:42,17.252004,-62.2686359,-76.2208273,-62.3955808,-62.2686359,-76.2208273,-62.3955808,0.003905158923296195,5.916387125042704
