time_epoch_s,time_local,t_elapsed_s,meas1_raw_dBm,meas2_raw_dBm,meas3_raw_dBm,meas1_corr_dBm,meas2_corr_dBm,meas3_corr_dBm,sim_W,sim_dBm
1760541660.885885,2025-10-15 17:21:00,47.212379,-61.8885728,-72.2334408,-62.151083,-61.8885728,-72.2334408,-62.151083,7.911210354751776,38.982429323191106
1760541660.896890,2025-10-15 17:21:00,47.223385,-61.9947079,-72.2334408,-62.151083,-61.9947079,-72.2334408,-62.151083,7.91278410133277,38.9832931625462
1760541660.901889,2025-10-15 17:21:00,47.228384,-61.9947079,-72.2334408,-62.1238745,-61.9947079,-72.2334408,-62.1238745,7.913494473131329,38.98368303379858
1760541660.944399,2025-10-15 17:21:00,47.270894,-61.9947079,-73.5010492,-62.1238745,-61.9947079,-73.5010492,-62.1238745,7.919519376040134,38.98698825697153
1760541660.947403,2025-10-15 17:21:00,47.273897,-61.9599196,-73.5010492,-62.1238745,-61.9599196,-73.5010492,-62.1238745,7.919934843254395,38.987216086941054
1760541660.952401,2025-10-15 17:21:00,47.278895,-61.9599196,-73.5010492,-62.130221,-61.9599196,-73.5010492,-62.130221,7.920624960260137,38.987594500344834
1760541660.992406,2025-10-15 17:21:00,47.318901,-61.9599196,-72.5792705,-62.130221,-61.9599196,-72.5792705,-62.130221,7.92613415122271,38.99061418571313
1760541660.995407,2025-10-15 17:21:00,47.321901,-61.9075991,-72.5792705,-62.130221,-61.9075991,-72.5792705,-62.130221,7.926537979110214,38.990835448376956
1760541660.998406,2025-10-15 17:21:00,47.324901,-61.9075991,-72.5792705,-62.1339367,-61.9075991,-72.5792705,-62.1339367,7.9269410283508845,38.991056273170194
1760541661.038466,2025-10-15 17:21:01,47.364960,-61.9075991,-70.4098798,-62.1339367,-61.9075991,-70.4098798,-62.1339367,7.932315158149166,38.99399960793737
1760541661.044463,2025-10-15 17:21:01,47.370957,-61.9608122,-70.4098798,-62.1138417,-61.9608122,-70.4098798,-62.1138417,7.933101394260964,38.99443005110156
1760541661.086463,2025-10-15 17:21:01,47.412958,-61.9608122,-68.5774073,-62.1138417,-61.9608122,-68.5774073,-62.1138417,7.938590126645406,38.99743379683224
1760541661.089468,2025-10-15 17:21:01,47.415963,-61.7298427,-68.5774073,-62.1138417,-61.7298427,-68.5774073,-62.1138417,163.72552305412515,52.141163865441584
1760541661.092470,2025-10-15 17:21:01,47.418964,-61.7298427,-68.5774073,-62.1102518,-61.7298427,-68.5774073,-62.1102518,163.16405357056328,52.126244861857515
1760541661.146529,2025-10-15 17:21:01,47.473023,-61.7298427,-64.3865946,-62.1102518,-61.7298427,-64.3865946,-62.1102518,153.23340038329812,51.85353439063864
1760541661.150529,2025-10-15 17:21:01,47.477023,-61.7054276,-64.3865946,-62.1102518,-61.7054276,-64.3865946,-62.1102518,152.53329698686716,51.83364657579259
1760541661.156531,2025-10-15 17:21:01,47.483025,-61.7054276,-64.3865946,-62.1015736,-61.7054276,-64.3865946,-62.1015736,151.48818601861322,51.80378765201466
1760541661.190540,2025-10-15 17:21:01,47.517035,-61.7054276,-66.2893998,-62.1015736,-61.7054276,-66.2893998,-62.1015736,145.6538758543286,51.633220457076035
1760541661.194535,2025-10-15 17:21:01,47.521029,-61.7298997,-66.2893998,-62.0917555,-61.7298997,-66.2893998,-62.0917555,144.98927396611435,51.61335875134081
1760541661.231614,2025-10-15 17:21:01,47.558108,-61.7400086,-67.0278066,-62.0917555,-61.7400086,-67.0278066,-62.0917555,138.9067300298174,51.42723287811096
1760541661.242615,2025-10-15 17:21:01,47.569109,-61.7400086,-67.0278066,-62.0996792,-61.7400086,-67.0278066,-62.0996792,137.16482586245965,51.37242756470372
1760541661.278615,2025-10-15 17:21:01,47.605109,-61.7400086,-67.0415511,-62.0996792,-61.7400086,-67.0415511,-62.0996792,131.576142444607,51.19177149582225
1760541661.281613,2025-10-15 17:21:01,47.608108,-61.8566791,-67.0415511,-62.0996792,-61.8566791,-67.0415511,-62.0996792,131.12538947121038,51.1768679115354
1760541661.292618,2025-10-15 17:21:01,47.619112,-61.8566791,-67.0415511,-62.1051612,-61.8566791,-67.0415511,-62.1051612,129.48046015642063,51.12204234158395
1760541661.329698,2025-10-15 17:21:01,47.656193,-61.8566791,-66.8995301,-62.1051612,-61.8566791,-66.8995301,-62.1051612,124.04832972796113,50.93590921007959
1760541661.331697,2025-10-15 17:21:01,47.658192,-61.765722,-66.8995301,-62.1051612,-61.765722,-66.8995301,-62.1051612,123.76490544339892,50.92597514369231
1760541661.350697,2025-10-15 17:21:01,47.677192,-61.765722,-66.8995301,-62.1135094,-61.765722,-66.8995301,-62.1135094,121.0904662450544,50.83109951399413
1760541661.373698,2025-10-15 17:21:01,47.700193,-61.765722,-67.4975993,-62.1135094,-61.765722,-67.4975993,-62.1135094,117.92639415403227,50.716110192813105
1760541661.385696,2025-10-15 17:21:01,47.712191,-61.7163433,-67.4975993,-62.1135094,-61.7163433,-67.4975993,-62.1135094,116.31397966868636,50.6563191531403
1760541661.411215,2025-10-15 17:21:01,47.737710,-61.7163433,-67.4975993,-62.1172156,-61.7163433,-67.4975993,-62.1172156,112.94451427669811,50.52865142053943
1760541661.423215,2025-10-15 17:21:01,47.749709,-61.7163433,-67.1514215,-62.1172156,-61.7163433,-67.1514215,-62.1172156,111.40000325191039,50.46885203515329
1760541661.431212,2025-10-15 17:21:01,47.757707,-61.7724672,-67.1514215,-62.1172156,-61.7724672,-67.1514215,-62.1172156,110.3835268268141,50.42904265947351
1760541661.462772,2025-10-15 17:21:01,47.789267,-61.7724672,-67.1514215,-62.1022944,-61.7724672,-67.1514215,-62.1022944,106.43572324392296,50.27087415589232
1760541661.473770,2025-10-15 17:21:01,47.800264,-61.7724672,-67.2407385,-62.1022944,-61.7724672,-67.2407385,-62.1022944,105.1013547562645,50.21608314119374
1760541661.499776,2025-10-15 17:21:01,47.826270,-61.8915227,-67.2407385,-62.1022944,-61.8915227,-67.2407385,-62.1022944,101.99899662463667,50.08595899580281
1760541661.506285,2025-10-15 17:21:01,47.832779,-61.8915227,-67.2407385,-62.1016722,-61.8915227,-67.2407385,-62.1016722,101.24122031994165,50.0535737132445
1760541661.532289,2025-10-15 17:21:01,47.858783,-61.8915227,-67.1948215,-62.1016722,-61.8915227,-67.1948215,-62.1016722,98.25304949661913,49.92346038528396
1760541661.548852,2025-10-15 17:21:01,47.875347,-61.8838186,-67.1948215,-62.1016722,-61.8838186,-67.1948215,-62.1016722,96.40083173472557,49.84080780959298
1760541661.554853,2025-10-15 17:21:01,47.881347,-61.8838186,-67.1948215,-62.0928219,-61.8838186,-67.1948215,-62.0928219,95.74045401829854,49.81095482652658
1760541661.593855,2025-10-15 17:21:01,47.920350,-61.8838186,-67.2361893,-62.0928219,-61.8838186,-67.2361893,-62.0928219,91.51796425274114,49.615063510071415
1760541661.599855,2025-10-15 17:21:01,47.926350,-61.9088818,-67.2361893,-62.0928219,-61.9088818,-67.2361893,-62.0928219,90.89113526421188,49.58521527957133
1760541661.605368,2025-10-15 17:21:01,47.931863,-61.9088818,-67.2361893,-62.0786151,-61.9088818,-67.2361893,-62.0786151,90.31901043969961,49.55779170691355
1760541661.623368,2025-10-15 17:21:01,47.949863,-61.9088818,-68.7418761,-62.0786151,-61.9088818,-68.7418761,-62.0786151,88.46948796712651,49.46793513722291
1760541661.653934,2025-10-15 17:21:01,47.980429,-61.9203465,-68.7418761,-62.0786151,-61.9203465,-68.7418761,-62.0786151,85.40417576090773,49.31479105649008
1760541661.659935,2025-10-15 17:21:01,47.986429,-61.9203465,-68.7418761,-62.0870453,-61.9203465,-68.7418761,-62.0870453,84.81917519998858,49.284940449707165
1760541661.691944,2025-10-15 17:21:01,48.018438,-61.9203465,-67.0100031,-62.0870453,-61.9203465,-67.0100031,-62.0870453,81.74291261689245,49.12450108184828
1760541661.694941,2025-10-15 17:21:01,48.021435,-61.9977749,-67.0100031,-62.0937276,-61.9977749,-67.0100031,-62.0937276,81.46296709742737,49.109602241955066
1760541661.740452,2025-10-15 17:21:01,48.066946,-61.9977749,-65.8648385,-62.0937276,-61.9977749,-65.8648385,-62.0937276,77.27852044963105,48.88058798620791
1760541661.748449,2025-10-15 17:21:01,48.074944,-62.0103747,-65.8648385,-62.0937276,-62.0103747,-65.8648385,-62.0937276,76.5734086406302,48.840779800032664
1760541661.756997,2025-10-15 17:21:01,48.083492,-62.0103747,-65.8648385,-62.0809876,-62.0103747,-65.8648385,-62.0809876,75.82671180656656,48.798222233975295
1760541661.791005,2025-10-15 17:21:01,48.117499,-62.0103747,-63.7719156,-62.0809876,-62.0103747,-63.7719156,-62.0809876,72.90657751661338,48.627667114497704
1760541661.795005,2025-10-15 17:21:01,48.121500,-61.9966999,-63.7719156,-62.0867249,-61.9966999,-63.7719156,-62.0867249,72.57343722068022,48.60777692609223
1760541661.841508,2025-10-15 17:21:01,48.168003,-61.9966999,-65.3720463,-62.0867249,-61.9966999,-65.3720463,-62.0867249,68.76542719322427,48.37370145313677
1760541661.847512,2025-10-15 17:21:01,48.174006,-62.0299242,-65.3720463,-62.092034,-62.0299242,-65.3720463,-62.092034,68.29415565349801,48.34383540049962
1760541661.890084,2025-10-15 17:21:01,48.216578,-62.0299242,-65.3708991,-62.092034,-62.0299242,-65.3708991,-62.092034,65.00986962420161,48.129792950727584
1760541661.893084,2025-10-15 17:21:01,48.219578,-62.0150824,-65.3708991,-62.092034,-62.0150824,-65.3708991,-62.092034,64.78701754539331,48.114879877645684
1760541661.894083,2025-10-15 17:21:01,48.220577,-62.0150824,-65.3708991,-62.1072614,-62.0150824,-65.3708991,-62.1072614,64.71301052452381,48.10991604176645
1760541661.939589,2025-10-15 17:21:01,48.266083,-61.960485,-65.4090024,-62.1072614,-61.960485,-65.4090024,-62.1072614,61.38932428916595,47.8809285313756
1760541661.942587,2025-10-15 17:21:01,48.269081,-61.960485,-65.4090024,-62.1136841,-61.960485,-65.4090024,-62.1136841,61.17901701047523,47.86602494708875
1760541661.984173,2025-10-15 17:21:01,48.310667,-61.9216882,-65.7645299,-62.1136841,-61.9216882,-65.7645299,-62.1136841,58.3042284023912,47.657000522759006
1760541661.992176,2025-10-15 17:21:01,48.318670,-61.9216882,-65.7645299,-62.1162843,-61.9216882,-65.7645299,-62.1162843,57.77186381817741,47.61716378842997
1760541662.029688,2025-10-15 17:21:02,48.356183,-61.9216882,-66.2489124,-62.1162843,-61.9216882,-66.2489124,-62.1162843,55.3201968784123,47.42883717045659
1760541662.031686,2025-10-15 17:21:02,48.358180,-61.9626392,-66.2489124,-62.1162843,-61.9626392,-66.2489124,-62.1162843,55.19390734710146,47.418911402007566
1760541662.057688,2025-10-15 17:21:02,48.384182,-61.9626392,-66.2489124,-62.1311112,-61.9626392,-66.2489124,-62.1311112,53.56495802865723,47.2888076895294
1760541662.073243,2025-10-15 17:21:02,48.399737,-61.9626392,-66.4624356,-62.1311112,-61.9626392,-66.4624356,-62.1311112,52.61638573184009,47.21121012684931
1760541662.081243,2025-10-15 17:21:02,48.407737,-61.966612,-66.4624356,-62.1311112,-61.966612,-66.4624356,-62.1311112,52.13614137109634,47.17138885611523
1760541662.111759,2025-10-15 17:21:02,48.438254,-61.966612,-66.4624356,-62.1374448,-61.966612,-66.4624356,-62.1374448,50.332634684185805,47.018496643302875
