time_s,P_ref_W
0.0,10.0
0.001,9.991835027433774
0.002,9.983676388347495
0.003,9.975524077964414
0.004,9.967378091511348
0.005,9.959238424218661
0.006,9.951105071320276
0.007,9.942978028053647
0.008,9.934857289659783
0.009000000000000001,9.92674285138324
0.01,9.918634708472108
0.011,9.91053285617801
0.012,9.902437289756104
0.013000000000000001,9.89434800446509
0.014,9.886264995567187
0.015,9.878188258328137
0.016,9.870117788017222
0.017,9.862053579907233
0.018000000000000002,9.853995629274475
0.019,9.845943931398782
0.02,9.837898481563496
0.021,9.829859275055465
0.022,9.82182630716505
0.023,9.813799573186124
0.024,9.805779068416047
0.025,9.797764788155693
0.026000000000000002,9.78975672770943
0.027,9.78175488238512
0.028,9.773759247494116
0.029,9.765769818351268
0.03,9.757786590274906
0.031,9.749809558586849
0.032,9.741838718612398
0.033,9.733874065680332
0.034,9.72591559512291
0.035,9.717963302275864
0.036000000000000004,9.710017182478397
0.037,9.702077231073183
0.038,9.694143443406366
0.039,9.686215814827543
0.04,9.678294340689792
0.041,9.670379016349631
0.042,9.662469837167045
0.043000000000000003,9.654566798505474
0.044,9.646669895731801
0.045,9.638779124216367
0.046,9.630894479332957
0.047,9.6230159564588
0.048,9.61514355097456
0.049,9.607277258264354
0.05,9.599417073715717
0.051000000000000004,9.591562992719636
0.052000000000000005,9.583715010670518
0.053,9.575873122966199
0.054,9.568037325007946
0.055,9.560207612200445
0.056,9.552383979951806
0.057,9.544566423673562
0.058,9.536754938780646
0.059000000000000004,9.528949520691427
0.06,9.52115016482767
0.061,9.513356866614547
0.062,9.505569621480644
0.063,9.497788424857948
0.064,9.490013272181843
0.065,9.482244158891119
0.066,9.474481080427958
0.067,9.466724032237927
0.068,9.458973009769998
0.069,9.451228008476523
0.07,9.443489023813239
0.07100000000000001,9.435756051239276
0.07200000000000001,9.428029086217135
0.073,9.420308124212692
0.074,9.412593160695216
0.075,9.404884191137327
0.076,9.397181211015035
0.077,9.38948421580771
0.078,9.38179320099809
0.079,9.374108162072268
0.08,9.366429094519708
0.081,9.358755993833226
0.082,9.351088855509001
0.083,9.343427675046566
0.084,9.335772447948795
0.085,9.328123169721911
0.08600000000000001,9.320479835875496
0.08700000000000001,9.312842441922461
0.088,9.30521098337907
0.089,9.297585455764915
0.09,9.289965854602935
0.091,9.28235217541939
0.092,9.274744413743877
0.093,9.267142565109333
0.094,9.259546625052002
0.095,9.251956589111456
0.096,9.244372452830609
0.097,9.236794211755665
0.098,9.229221861436153
0.099,9.221655397424936
0.1,9.21409481527816
0.101,9.206540110555299
0.10200000000000001,9.198991278819122
0.10300000000000001,9.191448315635713
0.10400000000000001,9.183911216574446
0.105,9.176379977208002
0.106,9.16885459311236
0.107,9.161335059866794
0.108,9.153821373053859
0.109,9.14631352825941
0.11,9.138811521072588
0.111,9.131315347085811
0.112,9.123825001894794
0.113,9.116340481098518
0.114,9.108861780299248
0.115,9.101388895102517
0.116,9.093921821117144
0.117,9.086460553955202
0.11800000000000001,9.079005089232044
0.11900000000000001,9.071555422566282
0.12,9.064111549579795
0.121,9.056673465897722
0.122,9.04924116714845
0.123,9.041814648963637
0.124,9.034393906978185
0.125,9.026978936830247
0.126,9.019569734161232
0.127,9.01216629461578
0.128,9.004768613841792
0.129,8.997376687490398
0.13,8.989990511215971
0.131,8.982610080676125
0.132,8.975235391531696
0.133,8.967866439446762
0.134,8.96050322008863
0.135,8.953145729127826
0.136,8.945793962238106
0.137,8.938447915096452
0.138,8.931107583383056
0.139,8.923772962781335
0.14,8.916444048977922
0.14100000000000001,8.90912083766265
0.14200000000000002,8.901803324528574
0.14300000000000002,8.894491505271965
0.14400000000000002,8.88718537559227
0.145,8.87988493119217
0.146,8.872590167777531
0.147,8.865301081057417
0.148,8.858017666744098
0.149,8.850739920553025
0.15,8.843467838202844
0.151,8.836201415415402
0.152,8.828940647915712
0.153,8.821685531431992
0.154,8.814436061695618
0.155,8.807192234441171
0.156,8.799954045406388
0.157,8.792721490332195
0.158,8.785494564962686
0.159,8.778273265045115
0.16,8.771057586329926
0.161,8.763847524570705
0.162,8.756643075524213
0.163,8.74944423495037
0.164,8.742250998612256
0.165,8.73506336227611
0.166,8.727881321711306
0.167,8.72070487269039
0.168,8.713534010989058
0.169,8.706368732386133
0.17,8.699209032663596
0.171,8.692054907606572
0.17200000000000001,8.68490635300332
0.17300000000000001,8.677763364645237
0.17400000000000002,8.670625938326861
0.17500000000000002,8.663494069845846
0.176,8.656367755003004
0.177,8.649246989602245
0.178,8.642131769450629
0.179,8.635022090358325
0.18,8.627917948138627
0.181,8.620819338607951
0.182,8.613726257585824
0.183,8.606638700894894
0.184,8.599556664360913
0.185,8.592480143812747
0.186,8.585409135082378
0.187,8.578343634004868
0.188,8.571283636418416
0.189,8.564229138164288
0.19,8.55718013508687
0.191,8.550136623033639
0.192,8.543098597855161
0.193,8.536066055405096
0.194,8.529038991540194
0.195,8.522017402120289
0.196,8.515001283008301
0.197,8.507990630070235
0.198,8.500985439175176
0.199,8.493985706195275
0.2,8.486991427005771
0.201,8.480002597484974
0.202,8.473019213514258
0.203,8.466041270978074
0.20400000000000001,8.459068765763933
0.20500000000000002,8.452101693762412
0.20600000000000002,8.445140050867154
0.20700000000000002,8.438183832974854
0.20800000000000002,8.43123303598527
0.209,8.42428765580121
0.21,8.417347688328533
0.211,8.410413129476158
0.212,8.403483975156048
0.213,8.396560221283202
0.214,8.389641863775681
0.215,8.38272889855457
0.216,8.375821321544002
0.217,8.368919128671145
0.218,8.362022315866199
